Country_ISO_2021 ,RNN_Prediction
ABW              ,   0.001121786
AFG              ,   0.000807859
AGO              ,   0.000996637
ALB              ,   0.000918305
AND              ,   0.001059311
ARE              ,   0.001010891
ARG              ,   0.001150595
ARM              ,   0.000866391
ATG              ,   0.001069147
AUS              ,   0.001536385
AUT              ,   0.001230145
AZE              ,   0.000876979
BDI              ,   0.000934032
BEL              ,   0.001334244
BEN              ,   0.000967294
BFA              ,   0.000973218
BGD              ,   0.001140767
BGR              ,   0.000932503
BHR              ,   0.000937598
BHS              ,   0.001111574
BIH              ,   0.00092107
BLR              ,   0.000920686
BLZ              ,   0.00106218
BMU              ,   0.001345116
BOL              ,   0.001085737
BRA              ,   0.00132055
BRB              ,   0.001075887
BRN              ,   0.001028949
BTN              ,   0.000863871
BWA              ,   0.00098374
CAF              ,   0.000935668
CAN              ,   0.001667528
CHE              ,   0.001558057
CHL              ,   0.001145479
CHN              ,   0.00634391
CIV              ,   0.000995776
CMR              ,   0.000944989
COG              ,   0.000955909
COL              ,   0.001124466
COM              ,   0.000928297
CPV              ,   0.000990813
CRI              ,   0.001088885
CYM              ,   0.001281343
CYP              ,   0.000976953
CZE              ,   0.001026148
DEU              ,   0.00405747
DJI              ,   0.00089105
DMA              ,   0.001045394
DNK              ,   0.001391794
DOM              ,   0.00106437
DZA              ,   0.000976045
ECU              ,   0.001076457
EGY              ,   0.000995186
ESP              ,   0.001441452
EST              ,   0.00097583
ETH              ,   0.000998001
FIN              ,   0.001202418
FJI              ,   0.001047009
FRA              ,   0.002568004
FRO              ,   0.001122906
FSM              ,   0.000992799
GAB              ,   0.000976271
GBR              ,   0.002953331
GEO              ,   0.000877227
GHA              ,   0.000995125
GIN              ,   0.000989698
GMB              ,   0.000975709
GNB              ,   0.000976197
GNQ              ,   0.000978675
GRC              ,   0.001008039
GRD              ,   0.001054708
GTM              ,   0.001079488
GUY              ,   0.001057152
HKG              ,   0.001055602
HND              ,   0.001065598
HRV              ,   0.000959897
HTI              ,   0.001048653
HUN              ,   0.00099363
IDN              ,   0.001277927
IND              ,   0.003121428
IRL              ,   0.001286279
IRN              ,   0.007235035
IRQ              ,   0.000897707
ISL              ,   0.001174619
ISR              ,   0.00102667
ITA              ,   0.001638237
JAM              ,   0.001054129
JOR              ,   0.00061701
JPN              ,   0.002543744
KAZ              ,   0.000891004
KEN              ,   0.000920398
KGZ              ,   0.000842949
KHM              ,   0.000921245
KIR              ,   0.001013206
KNA              ,   0.001078879
KOR              ,   0.001313478
LAO              ,   0.000901178
LBN              ,   0.000729194
LBR              ,   0.000973767
LBY              ,   0.000953059
LCA              ,   0.001056079
LKA              ,   0.000915253
LSO              ,   0.000970652
LTU              ,   0.000960907
LUX              ,   0.001349625
LVA              ,   0.000956611
MAC              ,   0.001105479
MAR              ,   0.000992909
MDA              ,   0.000901224
MDG              ,   0.000963644
MDV              ,   0.000912449
MEX              ,   0.001221024
MHL              ,   0.001015499
MKD              ,   0.000915391
MLI              ,   0.000984471
MLT              ,   0.001005878
MMR              ,   0.000946587
MNE              ,   0.000923898
MNG              ,   0.000896147
MOZ              ,   0.000988038
MRT              ,   0.000974272
MUS              ,   0.000961857
MWI              ,   0.000957746
MYS              ,   0.000969309
NAM              ,   0.000985465
NCL              ,   0.001128832
NER              ,   0.000971615
NGA              ,   0.00118462
NIC              ,   0.001062668
NLD              ,   0.001665308
NOR              ,   0.001656797
NPL              ,   0.000878816
NZL              ,   0.001230964
OMN              ,   0.000914919
PAK              ,   0.003483205
PAN              ,   0.00109226
PER              ,   0.001124179
PHL              ,   0.001058211
PLW              ,   0.000983433
PNG              ,   0.001000297
POL              ,   0.001069368
PRI              ,   0.001119454
PRT              ,   0.001070251
PRY              ,   0.00108262
PYF              ,   0.001128211
QAT              ,   0.008329958
ROU              ,   0.000953779
RUS              ,   0.001065403
RWA              ,   0.000927326
SAU              ,   0.000979945
SDN              ,   0.000987227
SEN              ,   0.000991838
SGP              ,   0.001133958
SLB              ,   0.001007781
SLE              ,   0.000981458
SLV              ,   0.001068743
SRB              ,   0.00092555
STP              ,   0.000957561
SUR              ,   0.001043451
SVK              ,   0.000981426
SVN              ,   0.001001634
SWE              ,   0.00171124
SWZ              ,   0.000971439
SYC              ,   0.000948474
TCA              ,   0.001091005
TCD              ,   0.000924248
TGO              ,   0.000961898
THA              ,   0.000995313
TJK              ,   0.00330762
TON              ,   0.001053914
TTO              ,   0.001079086
TUN              ,   0.000937981
TUR              ,   0.001670272
TUV              ,   0.0010391
TZA              ,   0.00097938
UGA              ,   0.00101454
UKR              ,   0.000955436
URY              ,   0.001117677
USA              ,   0.005079557
UZB              ,   0.003338563
VCT              ,   0.001050931
VNM              ,   0.001016208
VUT              ,   0.001027762
WSM              ,   0.001030867
ZAF              ,   0.001057377
ZMB              ,   0.000967429
ZWE              ,   0.000966845